Year,DOMESTIC Load Factor,INTERNATIONAL Load Factor,TOTAL Load Factor,DOMESTIC Net Income,INTERNATIONAL Net Income,TOTAL Net Income,DOMESTIC Operating Revenue,INTERNATIONAL Operating Revenue,TOTAL Operating Revenue
2003,72.68,74.84,73.59,-1469581.0,3543.0,-1715469.0,88870096.0,1793391.0,117768014.0
2004,74.46,77.81,75.89,-9906154.0,151897.0,-9104424.0,100902510.0,1990252.0,134660284.0
2005,77.16,78.67,77.82,-19747536.0,190916.0,-27219896.0,111858063.0,2884934.0,151544403.0
2006,79.11,78.61,78.88,9043659.0,138042.0,18186112.0,120906925.0,2887401.0,165531803.0
2007,79.87,79.13,79.53,2995875.0,190398.0,7691404.0,124502978.0,3330852.0,174696416.0
2008,79.74,77.54,78.69,-18173970.0,-221582.0,-23749834.0,129728330.0,3941471.0,186087333.0
2009,81.06,78.28,79.72,-2252074.0,169340.0,-2526277.0,109681017.0,3252719.0,155051198.0
2010,82.18,81.59,81.9,1176134.0,304122.0,3665995.0,119073502.0,4393008.0,174677395.0
2011,82.87,80.3,81.6,1440558.0,-15962.0,1392188.0,132822096.0,4510153.0,193040699.0
2012,83.36,81.69,82.53,2212176.0,-193468.0,363732.0,135830212.0,3976258.0,196105250.0
2013,83.47,82.1,82.77,10521844.0,70956.0,12711213.0,139144797.0,3238896.0,200244884.0
2014,84.49,81.04,82.69,8645383.0,129598.0,8440634.0,145871919.0,2758993.0,207713887.0
2015,84.98,80.6,82.68,21211902.0,105091.0,26379931.0,146932406.0,2603510.0,205360893.0
2016,84.59,80.53,82.43,13354439.0,96330.0,15609744.0,151107327.0,2563096.0,209295335.0
2017,84.57,80.64,82.47,17021453.0,102083.0,16804481.0,160539005.0,2896658.0,222242732.0
2018,84.46,81.68,82.98,14109503.0,174844.0,15429071.0,171685954.0,3966516.0,240001025.0
2019,85.11,82.72,83.85,15705970.0,-250885.0,16432523.0,179341805.0,3971666.0,248001537.0
2020,58.63,57.6,58.23,-24600755.0,887260.0,-30902984.0,93274028.0,4977940.0,131470626.0
2021,77.68,56.3,69.86,4614552.0,783222.0,1135295.0,142900128.0,6325633.0,193729101.0
2022,84.32,78.17,81.46,5911236.0,487868.0,3936715.0,201780229.0,7132878.0,277848130.0
2023,83.53,82.6,83.07,7813117.0,289251.0,8876020.0,211152575.0,6307729.0,297155158.0
