Arrival_Departure,Domestic_International,FlightType,Passenger_Count
Arrival,Domestic,Scheduled Carriers,1128607
Arrival,Domestic,Scheduled Carriers,2419169
Departure,Domestic,Scheduled Carriers,2400638
Arrival,Domestic,Scheduled Carriers,1918767
Departure,Domestic,Scheduled Carriers,1957849
Arrival,Domestic,Scheduled Carriers,1913707
Arrival,Domestic,Scheduled Carriers,1621331
Departure,Domestic,Scheduled Carriers,1877929
Departure,Domestic,Scheduled Carriers,1702684
Departure,Domestic,Scheduled Carriers,1689324
Arrival,Domestic,Scheduled Carriers,1748460
Departure,Domestic,Scheduled Carriers,2693401
Arrival,Domestic,Scheduled Carriers,2812189
Arrival,Domestic,Scheduled Carriers,1545427
Departure,Domestic,Scheduled Carriers,1760630
Departure,Domestic,Scheduled Carriers,2499352
Departure,Domestic,Scheduled Carriers,1681376
Departure,Domestic,Scheduled Carriers,1766381
Arrival,Domestic,Scheduled Carriers,1640008
Arrival,Domestic,Scheduled Carriers,1787806
Departure,Domestic,Scheduled Carriers,1642575
Departure,Domestic,Scheduled Carriers,2575038
Arrival,Domestic,Scheduled Carriers,1525301
Departure,Domestic,Scheduled Carriers,2452681
Arrival,Domestic,Scheduled Carriers,1747732
Departure,Domestic,Scheduled Carriers,1996769
Departure,Domestic,Scheduled Carriers,1789719
Departure,Domestic,Scheduled Carriers,2236802
Departure,Domestic,Scheduled Carriers,2689850
Departure,Domestic,Scheduled Carriers,2337548
Arrival,Domestic,Scheduled Carriers,1432532
Departure,Domestic,Scheduled Carriers,1837085
Departure,Domestic,Scheduled Carriers,1519278
Arrival,Domestic,Scheduled Carriers,2164662
Departure,Domestic,Scheduled Carriers,1956610
Arrival,Domestic,Scheduled Carriers,2579984
Arrival,Domestic,Scheduled Carriers,1874453
Arrival,Domestic,Scheduled Carriers,1843685
Departure,Domestic,Scheduled Carriers,2777599
Arrival,Domestic,Scheduled Carriers,2318952
Arrival,Domestic,Scheduled Carriers,1964766
Departure,Domestic,Scheduled Carriers,2539210
Arrival,Domestic,Scheduled Carriers,1561959
Departure,Domestic,Scheduled Carriers,1665955
Arrival,Domestic,Scheduled Carriers,2230082
Arrival,Domestic,Scheduled Carriers,2013122
Departure,Domestic,Scheduled Carriers,1364814
Arrival,Domestic,Scheduled Carriers,1857973
Arrival,Domestic,Scheduled Carriers,2024477
Departure,Domestic,Scheduled Carriers,2381112
Arrival,Domestic,Scheduled Carriers,2450278
Arrival,Domestic,Scheduled Carriers,1714621
Departure,Domestic,Scheduled Carriers,2010458
Departure,Domestic,Scheduled Carriers,1922139
Departure,Domestic,Scheduled Carriers,2984321
Arrival,Domestic,Scheduled Carriers,2588048
Departure,Domestic,Scheduled Carriers,2922417
Departure,Domestic,Scheduled Carriers,1943764
Arrival,Domestic,Scheduled Carriers,1466166
Departure,Domestic,Scheduled Carriers,250998
Arrival,Domestic,Scheduled Carriers,1696586
Departure,Domestic,Scheduled Carriers,1950406
Arrival,Domestic,Scheduled Carriers,2139177
Arrival,Domestic,Scheduled Carriers,2126552
Departure,Domestic,Scheduled Carriers,697304
Arrival,Domestic,Scheduled Carriers,1951129
Departure,Domestic,Scheduled Carriers,1636819
Departure,Domestic,Scheduled Carriers,2005070
Departure,Domestic,Scheduled Carriers,1696855
Arrival,Domestic,Scheduled Carriers,2535278
Departure,Domestic,Scheduled Carriers,1374599
Arrival,Domestic,Scheduled Carriers,1843269
Arrival,Domestic,Scheduled Carriers,1713427
Departure,Domestic,Scheduled Carriers,1951478
Departure,Domestic,Scheduled Carriers,2462316
Arrival,Domestic,Scheduled Carriers,2486330
Departure,Domestic,Scheduled Carriers,2494814
Arrival,Domestic,Scheduled Carriers,2017640
Departure,Domestic,Scheduled Carriers,1261864
Departure,Domestic,Scheduled Carriers,1701184
Departure,Domestic,Scheduled Carriers,1894245
Arrival,Domestic,Scheduled Carriers,2330768
Arrival,Domestic,Scheduled Carriers,2343882
Departure,Domestic,Scheduled Carriers,2550389
Departure,Domestic,Scheduled Carriers,2143951
Departure,Domestic,Scheduled Carriers,2304382
Arrival,Domestic,Scheduled Carriers,2010929
Departure,Domestic,Scheduled Carriers,1638140
Arrival,Domestic,Scheduled Carriers,2758501
Departure,Domestic,Scheduled Carriers,839055
Departure,Domestic,Scheduled Carriers,1580238
Departure,Domestic,Scheduled Carriers,844961
Arrival,Domestic,Scheduled Carriers,1899213
Arrival,Domestic,Scheduled Carriers,1784339
Departure,Domestic,Scheduled Carriers,2834451
Departure,Domestic,Scheduled Carriers,2159819
Departure,Domestic,Scheduled Carriers,2881061
Departure,Domestic,Scheduled Carriers,1968906
Arrival,Domestic,Scheduled Carriers,2093165
Arrival,Domestic,Scheduled Carriers,2559984
Arrival,Domestic,Scheduled Carriers,1424520
Departure,Domestic,Scheduled Carriers,1675442
Departure,Domestic,Scheduled Carriers,2850617
Departure,Domestic,Scheduled Carriers,1883942
Arrival,Domestic,Scheduled Carriers,1578485
Arrival,Domestic,Scheduled Carriers,2907593
Arrival,Domestic,Scheduled Carriers,2335786
Departure,Domestic,Scheduled Carriers,1603070
Arrival,Domestic,Scheduled Carriers,1986250
Arrival,Domestic,Scheduled Carriers,2780424
Arrival,Domestic,Scheduled Carriers,1927748
Departure,Domestic,Scheduled Carriers,2769477
Departure,Domestic,Scheduled Carriers,1620376
Arrival,Domestic,Scheduled Carriers,2348598
Arrival,Domestic,Scheduled Carriers,1945901
Arrival,Domestic,Scheduled Carriers,2407910
Arrival,Domestic,Scheduled Carriers,1849427
Arrival,Domestic,Scheduled Carriers,1685633
Departure,Domestic,Scheduled Carriers,2464224
Arrival,Domestic,Scheduled Carriers,1460617
Departure,Domestic,Scheduled Carriers,1434506
Departure,Domestic,Scheduled Carriers,1458427
Arrival,Domestic,Scheduled Carriers,2364152
Departure,Domestic,Scheduled Carriers,1738059
Departure,Domestic,Scheduled Carriers,1569708
Departure,Domestic,Scheduled Carriers,1561806
Arrival,Domestic,Scheduled Carriers,2372255
Departure,Domestic,Scheduled Carriers,1968698
Arrival,Domestic,Scheduled Carriers,1265282
Arrival,Domestic,Scheduled Carriers,2699220
Departure,Domestic,Scheduled Carriers,1699764
Arrival,Domestic,Scheduled Carriers,743405
Arrival,Domestic,Scheduled Carriers,1745966
Arrival,Domestic,Scheduled Carriers,2468573
Arrival,Domestic,Scheduled Carriers,1680739
Departure,Domestic,Scheduled Carriers,1900947
Arrival,Domestic,Scheduled Carriers,1961775
Arrival,Domestic,Scheduled Carriers,2192051
Departure,Domestic,Scheduled Carriers,2880050
Departure,Domestic,Scheduled Carriers,2011990
Arrival,Domestic,Scheduled Carriers,1758042
