DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,YEAR,MONTH
24.0,23.0,184.0,21615,"Air Charter, Inc d/b/a Air Flamenco",1,6,2024,2
90.0,51.0,408.0,21615,"Air Charter, Inc d/b/a Air Flamenco",1,6,2024,3
90.0,77.0,616.0,21615,"Air Charter, Inc d/b/a Air Flamenco",1,6,2024,3
90.0,83.0,664.0,21615,"Air Charter, Inc d/b/a Air Flamenco",1,6,2024,3
40.0,24.0,192.0,21615,"Air Charter, Inc d/b/a Air Flamenco",1,6,2024,1
48.0,24.0,192.0,21615,"Air Charter, Inc d/b/a Air Flamenco",1,6,2024,2
120.0,41.0,348.0,21615,"Air Charter, Inc d/b/a Air Flamenco",1,6,2024,1
120.0,52.0,416.0,21615,"Air Charter, Inc d/b/a Air Flamenco",1,6,2024,1
120.0,76.0,608.0,21615,"Air Charter, Inc d/b/a Air Flamenco",1,6,2024,1
60.0,51.0,408.0,21615,"Air Charter, Inc d/b/a Air Flamenco",1,6,2024,3
120.0,102.0,816.0,21615,"Air Charter, Inc d/b/a Air Flamenco",1,6,2024,1
24.0,22.0,176.0,21615,"Air Charter, Inc d/b/a Air Flamenco",1,6,2024,3
72.0,45.0,360.0,21615,"Air Charter, Inc d/b/a Air Flamenco",1,6,2024,2
7.0,6.0,28.0,21386,Air Excursions LLC,1,5,2024,3
15.0,12.0,135.0,21386,Air Excursions LLC,1,5,2024,2
20.0,16.0,144.0,21386,Air Excursions LLC,1,5,2024,2
20.0,16.0,144.0,21386,Air Excursions LLC,1,5,2024,2
23.0,22.0,207.0,21386,Air Excursions LLC,1,5,2024,3
7.0,6.0,28.0,21386,Air Excursions LLC,1,5,2024,3
13.0,8.0,52.0,21386,Air Excursions LLC,1,5,2024,1
23.0,22.0,207.0,21386,Air Excursions LLC,1,5,2024,3
16.0,12.0,144.0,21386,Air Excursions LLC,1,5,2024,2
10.0,9.0,90.0,21386,Air Excursions LLC,1,5,2024,3
10.0,9.0,90.0,21386,Air Excursions LLC,1,5,2024,3
8.0,4.0,36.0,21386,Air Excursions LLC,1,5,2024,1
18.0,13.0,162.0,21386,Air Excursions LLC,1,5,2024,1
8.0,4.0,36.0,21386,Air Excursions LLC,1,5,2024,1
14.0,8.0,72.0,21386,Air Excursions LLC,1,5,2024,1
13.0,8.0,52.0,21386,Air Excursions LLC,1,5,2024,1
13.0,7.0,63.0,21386,Air Excursions LLC,1,5,2024,1
16.0,11.0,144.0,21386,Air Excursions LLC,1,5,2024,1
62.0,59.0,2950.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
62.0,59.0,2950.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
56.0,45.0,2250.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
23.0,17.0,850.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
23.0,19.0,950.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
86.0,84.0,4200.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
58.0,51.0,2550.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
56.0,45.0,2250.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
23.0,19.0,950.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
46.0,37.0,1850.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
7.0,6.0,300.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
7.0,6.0,300.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
35.0,34.0,1700.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
90.0,87.0,4350.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
7.0,6.0,300.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
60.0,53.0,2650.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
8.0,6.0,300.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
8.0,6.0,300.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
7.0,6.0,300.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
14.0,13.0,650.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
14.0,13.0,650.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
20.0,19.0,950.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
20.0,19.0,950.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
25.0,23.0,1150.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
56.0,54.0,2700.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
51.0,46.0,2300.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
38.0,37.0,1850.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
38.0,37.0,1850.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
25.0,23.0,1150.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
5.0,4.0,200.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
9.0,8.0,400.0,20046,Air Wisconsin Airlines Corp,2,2,2024,1
3.0,2.0,100.0,20046,Air Wisconsin Airlines Corp,2,2,2024,4
